Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
-0.10666,0.994279,9.75493e-05,0.999983,19.3718,-0.477828,0,19.3777,0.5,0,12,49.8616,0.883791,0.54572,0.123519,-0.000154997,0.559525,0,106,1
-0.096751,0.995243,-9.00414e-05,0.999935,19.3694,-0.478009,0,19.3753,0.5,0,12,39.8028,1.32628,0.558424,0.117606,-0.000482989,0.570674,0,107,1
-0.1277,0.991794,0.000112652,0.999981,19.3767,-0.477385,0,19.3826,0.5,0,12,58.2658,-0.158412,0.520555,0.136995,-0.000154428,0.53828,0,108,1
-0.117181,0.993037,-7.22338e-05,0.999926,19.3742,-0.477606,0,19.3801,0.5,0,12,54.0609,0.362513,0.53314,0.130248,-0.000371171,0.54882,0,109,1
-0.148976,0.98882,0.000124887,0.999979,19.3816,-0.476843,0,19.3874,0.5,0,12,58.9063,-1.50001,0.497726,0.151729,-0.000151471,0.520339,0,110,1
-0.138339,0.990307,-3.38613e-05,0.999923,19.3791,-0.477114,0,19.385,0.5,0,12,58.5863,-0.829168,0.509142,0.144352,-0.000244841,0.52921,0,111,1
-0.168111,0.985746,0.000132213,0.999978,19.3865,-0.476179,0,19.3923,0.5,0,12,53.8907,-3.1881,0.478668,0.167542,-0.000146356,0.507142,0,112,1
-0.158545,0.987283,3.87065e-05,0.999932,19.384,-0.476511,0,19.3899,0.5,0,12,56.4027,-2.34361,0.488198,0.159626,-0.000131667,0.513632,0,113,1
-0.174741,0.984569,0.000119279,0.999956,19.3889,-0.475775,0,19.3947,0.5,0,12,49.2278,-4.25945,0.471447,0.175509,-0.000249096,0.503056,0,114,1
-0.181378,0.983391,0.000133171,0.999978,19.3913,-0.475369,0,19.3971,0.5,0,12,44.5801,-5.33008,0.464224,0.183467,-0.000142019,0.499163,0,115,1
0.405113,0.914246,0.000287441,0.999981,18.663,-0.471645,0,18.669,0.5,0,12,384.661,8.89712,-0.220583,0.53503,-0.000273878,0.578718,0,116,1
0.407643,0.913117,0.000399791,0.999978,18.6616,-0.471044,0,18.6675,0.5,0,12,380.514,9.88372,-0.197269,0.537399,-0.000482024,0.572462,0,117,1
0.41016,0.911994,0.000282448,0.999982,18.6602,-0.470443,0,18.6661,0.5,0,12,376.326,10.8697,-0.173979,0.539758,-0.000220245,0.567105,0,118,1
0.346397,0.938072,0.000238187,0.999985,18.6679,-0.473254,0,18.6739,0.5,0,12,365.889,4.07198,-0.312241,0.531552,-0.000386134,0.616475,0,119,1
0.375753,0.926159,0.000643575,0.999481,18.6655,-0.472449,0,18.6714,0.5,0,12,375.25,6.48489,-0.266408,0.533293,9.49056e-06,0.596133,0,120,1
0.339163,0.94071,0.000235912,0.999983,18.6728,-0.474694,0,18.6788,0.5,0,12,296.195,-3.08634,-0.414764,0.530205,-0.00053181,0.673161,0,121,1
0.342793,0.939386,5.97965e-05,0.999977,18.6703,-0.473974,0,18.6764,0.5,0,12,331.067,0.491589,-0.3635,0.530878,-0.000321673,0.6434,0,122,1
0.34361,0.939081,3.3821e-05,0.999971,18.6737,-0.475032,0,18.6798,0.5,0,12,288.889,-4.70579,-0.43429,0.52507,-0.000484765,0.6814,0,123,1
-0.194663,0.980847,-0.000247132,0.999977,18.7802,-0.475339,0,18.7862,0.5,0,12,90.5286,-30.0298,0.0103752,-0.23442,-0.000206657,0.23465,0,124,1
-0.194077,0.980963,-0.000263355,0.999977,18.7803,-0.475309,0,18.7863,0.5,0,12,91.1912,-29.8427,0.0122084,-0.234333,-0.000201546,0.234651,0,125,1
-0.17072,0.985301,-0.000245548,0.999982,18.7852,-0.474468,0,18.7912,0.5,0,12,117.878,-23.9822,0.0669824,-0.225757,-7.6839e-05,0.235485,0,126,1
-0.182396,0.983132,8.48703e-05,0.999909,18.7828,-0.474888,0,18.7888,0.5,0,12,104.553,-26.9119,0.0395954,-0.230039,-0.000168957,0.233422,0,127,1
-0.149872,0.98869,-0.000229661,0.999985,18.7901,-0.473814,0,18.7961,0.5,0,12,126.61,-19.8055,0.11411,-0.209931,6.99515e-05,0.23894,0,128,1
-0.160301,0.986995,6.66815e-05,0.999928,18.7877,-0.474141,0,18.7936,0.5,0,12,122.227,-21.8945,0.0905475,-0.217834,-4.10761e-05,0.235904,0,129,1
-0.147343,0.989069,-0.000246428,0.999984,18.795,-0.473251,0,18.801,0.5,0,12,101.545,-18.1329,0.15693,-0.192501,0.000233303,0.248363,0,130,1
-0.148615,0.988879,-0.000321116,0.999984,18.7925,-0.473533,0,18.7985,0.5,0,12,114.034,-18.9709,0.135523,-0.201212,8.78553e-05,0.242595,0,131,1
-0.156706,0.987626,-0.000282767,0.999981,18.7999,-0.472672,0,18.8058,0.5,0,12,66.8256,-17.4344,0.198583,-0.182088,0.000383809,0.269427,0,132,1
-0.152026,0.988347,-0.000567544,0.999971,18.7974,-0.472962,0,18.8034,0.5,0,12,84.1586,-17.7841,0.177757,-0.187297,0.000256882,0.25822,0,133,1
-0.160492,0.987015,-0.000312654,0.999978,18.8048,-0.472053,0,18.8107,0.5,0,12,50.2496,-15.8498,0.238313,-0.176671,0.000485183,0.296658,0,134,1
-0.158596,0.98732,-0.000509017,0.999977,18.8023,-0.472362,0,18.8083,0.5,0,12,58.5325,-16.6407,0.21844,-0.179383,0.000382393,0.282656,0,135,1
-0.157731,0.987458,-0.000334991,0.999976,18.8097,-0.471397,0,18.8156,0.5,0,12,44.695,-13.4784,0.275522,-0.171226,0.0004885,0.324393,0,136,1
-0.159109,0.987237,-0.000439524,0.999976,18.8072,-0.471725,0,18.8131,0.5,0,12,47.4801,-14.6616,0.2569,-0.173953,0.000439351,0.310254,0,137,1
