Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
-0.0696707,0.99757,-0.000464795,1,9.12061,-0.396637,0,9.12923,0.5,0,10,1.12875,-5.12439,1.0853,-0.00528484,-0.00390327,1.08532,0,120,1
-0.073447,0.997299,-0.000384601,1,9.14022,-0.395429,0,9.14877,0.5,0,10,1.14575,-5.00336,1.09427,-0.0052291,-0.00362369,1.09429,0,121,1
-0.0766968,0.997054,-0.000291956,1,9.15983,-0.394165,0,9.16831,0.5,0,10,1.195,-4.85929,1.104,-0.00503945,-0.00339699,1.10401,0,122,1
-0.0786584,0.996902,-0.000209143,1,9.17944,-0.392878,0,9.18784,0.5,0,10,1.26093,-4.7004,1.11433,-0.00474808,-0.00324015,1.11434,0,123,1
-0.0812917,0.99669,-0.000138312,1,9.19905,-0.391568,0,9.20738,0.5,0,10,1.34605,-4.52557,1.12532,-0.00434765,-0.00314796,1.12533,0,124,1
-0.0835968,0.9965,-0.000109654,1,9.21866,-0.390199,0,9.22691,0.5,0,10,1.4371,-4.33183,1.13702,-0.00325616,-0.00308274,1.13703,0,125,1
-0.0844683,0.996426,-0.000138107,1,9.23827,-0.388802,0,9.24644,0.5,0,10,1.5398,-4.13104,1.14954,-0.00207804,-0.00305136,1.14954,0,126,1
-0.0859979,0.996295,-0.000220857,1,9.25788,-0.387378,0,9.26598,0.5,0,10,1.66619,-3.92023,1.16298,-0.000857442,-0.00303506,1.16298,0,127,1
-0.0866628,0.996238,-0.000248022,1,9.27748,-0.385885,0,9.28551,0.5,0,10,1.96464,-3.65006,1.17743,0.000385063,-0.00290434,1.17743,0,128,1
-0.0854254,0.996345,-0.000262347,1,9.29709,-0.384371,0,9.30504,0.5,0,10,2.38093,-3.36903,1.19138,0.00113805,-0.00250435,1.19138,0,129,1
-0.0838197,0.996481,-0.000285233,1,9.3167,-0.382834,0,9.32456,0.5,0,10,2.92588,-3.07873,1.20476,0.00140597,-0.00181335,1.20476,0,130,1
-0.0846825,0.996408,-0.000828533,1,9.33631,-0.381244,0,9.34409,0.5,0,10,3.14459,-2.76483,1.21555,-0.000331249,-0.000480746,1.21555,0,131,1
-0.0870823,0.9962,-0.00123201,1,9.35078,-0.38,0,9.3585,0.5,0,10,3.23067,-2.55649,1.22295,-0.0027467,0.00068152,1.22295,0,132,1
0.907658,0.406068,0.106137,1,6.88925,-0.36,0,6.89865,0.5,0,10,-3.61605,7.73333,1.42168,0.0561974,-0.0029153,1.4228,0,133,1
-0.0879307,0.996126,-0.00137554,1,9.35592,-0.379563,0,9.36362,0.5,0,10,3.22122,-2.53307,1.22213,-0.0027483,0.0011382,1.22213,0,134,1
-0.0956971,0.995409,-0.00189084,1,9.37553,-0.377869,0,9.38314,0.5,0,10,3.05659,-2.5078,1.21801,-0.00432454,0.00293319,1.21802,0,135,1
-0.107645,0.994188,-0.00145321,1,9.39514,-0.376043,0,9.40266,0.5,0,10,2.89375,-2.53199,1.21424,-0.00654201,0.00442077,1.21427,0,136,1
